num_models,fold,doc_offset,model_span,model_ent_type,error_type,corpus_span,corpus_ent_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
16,dev,20,"[90, 96): 'Berlin'",LOC,Sentence,"[90, 96): 'Berlin'",MISC,"[90, 107): 'Berlin Grand Prix'",MISC,,6/4/20 10:59,,
16,dev,20,"[90, 96): 'Berlin'",LOC,Sentence,"[97, 107): 'Grand Prix'",MISC,"[90, 107): 'Berlin Grand Prix'",MISC,,,,
16,dev,22,"[236, 244): 'Sarajevo'",LOC,None,,,,,"""Solidarity Meeting for Sarajevo""/MISC",,,
16,dev,157,"[132, 141): 'World Cup'",MISC,None,,,,,"""1998 World Cup""/MISC",,,
16,dev,187,"[374, 379): 'China'",LOC,None,,,,,"[360, 381): 'Human Rights in China'/ORG",,,
16,dev,206,"[2393, 2400): 'Marines'",ORG,None,,,,,Refers to members of the USMC,,,
16,test,27,"[237, 253): 'EASTERN DIVISION'",MISC,None,,,,,Divisions/conferences of leagues not considered entities,,,
,test,27,,,Wrong,"[410, 412): 'PA'",ORG,,,"""PA"" is abbreviation for ""Points Allowed""",,,
16,test,27,"[712, 728): 'EASTERN DIVISION'",MISC,None,,,,,Conferences/divisions of leagues not considered entities,,,
,test,29,,,Token,"[25, 44): 'FOOTBALL-OHIO STATE'",MISC,"[34, 44): 'OHIO STATE'",ORG,Ohio State football team,,,
16,test,29,"[774, 782): 'Nebraska'",LOC,None,,,,,University of Nebraska football team,,,
16,test,36,"[349, 358): 'Karlsruhe'",ORG,Tag,,LOC,,,Soccer team,,,
16,test,36,"[398, 406): 'Freiburg'",ORG,Tag,,LOC,,,Soccer team,,6/4/20 11:19,0:20
16,test,38,"[1117, 1126): 'Salamanca'",LOC,None,,,,,Soccer team,6/4/20 15:26,,
16,test,40,"[144, 161): 'Santiago Bernabeu'",LOC,None,,,,,"[144, 169): 'Santiago Bernabeu stadium'/LOC",,,
16,test,70,"[177, 202): 'New York Commodities Desk'",ORG,Span,"[177, 197): 'New York Commodities'",,,,,,,
,test,100,,,Both,"[941, 948): 'Chilean'",MISC,"[941, 957): 'Chilean Congress'",ORG,"Capital ""C"" on ""Congress""; reference to National Congress of Chile",,,
16,test,100,"[987, 995): 'Congress'",ORG,Missing,,,,,Refers to Chilean Congress (see previous),,,
16,test,112,"[174, 187): 'John Mills Jr'",PER,Sentence,"[174, 184): 'John Mills'",PER,"[174, 188): 'John Mills Jr.'",PER,"Wrong span, and incorrect sentence boundary after ""Jr.""",,,
16,test,122,"[1319, 1325): 'German'",MISC,None,"[1319, 1335): 'German shepherds'",MISC,,,Ambiguous: Dog breed name that is derived from a nationality,,,
16,test,155,"[423, 430): 'Antwerp'",LOC,Tag,,ORG,,,,,,
16,test,155,"[776, 783): 'Antwerp'",LOC,Tag,,ORG,,,,,,
16,test,170,"[627, 634): 'Bangkok'",LOC,None,,MISC,,,"""Bangkok newsroom"" --> Location as adjective",,,
16,test,192,"[431, 442): 'Switzerland'",LOC,None,"[434, 447): 'Switzerland I'",,,,,,,
16,test,192,"[566, 580): 'Czech Republic'",LOC,None,"[571, 587): 'Czech Republic I'",,,,,,,
16,test,199,"[108, 116): 'Scottish'",MISC,Span,"[108, 124): 'Scottish premier'",MISC,"[108, 116): 'Scottish'",MISC,Divisions of leagues not considered entities,,,
16,test,202,"[24, 31): 'BRITISH'",MISC,Missing,,,,,,,,
16,test,207,"[1041, 1047): 'Oxford'",ORG,Tag,,LOC,,,Soccer team ,,,
16,test,207,"[1304, 1314): 'Portsmouth'",ORG,Tag,,LOC,,,Soccer team,,,
16,test,215,"[222, 230): 'Tasmania'",LOC,None,,,,,,,,
16,test,216,"[166, 174): 'Tasmania'",LOC,None,,,,,,,,
16,test,216,"[179, 187): 'Victoria'",LOC,None,,,,,,,,
16,test,216,"[308, 316): 'Victoria'",LOC,None,,,,,,,,
16,test,223,"[231, 243): 'Philadelphia'",ORG,Tag,,LOC,,,,,,
16,test,223,"[255, 263): 'St Louis'",ORG,Tag,,LOC,,,,,,
16,test,223,"[266, 274): 'COLORADO'",ORG,Tag,,LOC,,,,,,
15,dev,54,"[190, 193): 'BSE'",MISC,None,,,,,,6/6/20 16:30,,
