num_models,fold,doc_offset,model_span,model_ent_type,error_type,corpus_span,corpus_ent_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
15,train,0,"[59, 83): 'Peter Blackburn BRUSSELS'",PER,None,,,,,,6/29/20 17:18,,
16,train,3,"[0, 10): '-DOCSTART-'",LOC,None,,,,,,,,
17,train,6,"[121, 137): 'Toronto Dominion'",LOC,Tag,,PER,,ORG,TD Bank,,,
16,train,21,"[0, 10): '-DOCSTART-'",ORG,None,,,,,,,,
17,train,25,"[141, 151): 'mid-Norway'",LOC,None,,MISC,,,,,,
17,train,29,"[454, 468): 'Phil Mickelson'",PER,Sentence,"[454, 458): 'Phil'",,,,Sentence boundary between first and last name,,,
17,train,29,"[454, 468): 'Phil Mickelson'",PER,Sentence,"[459, 468): 'Mickelson'",,,,Sentence boundary between first and last name,,,
17,train,29,"[762, 774): 'Mark O'Meara'",PER,Sentence,"[762, 766): 'Mark'",,,,Sentence boundary between first and last name,,,
17,train,29,"[762, 774): 'Mark O'Meara'",PER,Sentence,"[767, 774): 'O'Meara'",,,,Sentence boundary between first and last name,,,
16,train,29,"[886, 902): 'Shigeki Maruyama'",PER,Sentence,"[886, 893): 'Shigeki'",,,,Sentence boundary between first and last name,,,
16,train,29,"[886, 902): 'Shigeki Maruyama'",PER,Sentence,"[894, 902): 'Maruyama'",,,,Sentence boundary between first and last name,,,
16,train,36,"[107, 134): 'English County Championship'",MISC,Span,"[107, 114): 'English'",MISC,,,,,,
16,train,36,"[107, 134): 'English County Championship'",MISC,Span,"[115, 134): 'County Championship'",MISC,,,,,,
17,train,37,"[837, 846): 'Moin Khan'",PER,Sentence,"[837, 841): 'Moin'",PER,,,Sentence boundary between first and last name,,,
17,train,37,"[837, 846): 'Moin Khan'",PER,Sentence,"[842, 846): 'Khan'",PER,,,Sentence boundary between first and last name,,,
17,train,41,"[364, 378): 'Czech Republic'",LOC,Sentence,"[364, 369): 'Czech'",LOC,,,"Sentence boundary between ""Czech"" and ""Republic""",,,
