,doc_offset,corpus_span,correct_span
0,29.0,"[454, 458): 'Phil'","[454, 468): 'Phil Mickelson'"
1,29.0,"[459, 468): 'Mickelson'","[454, 468): 'Phil Mickelson'"
2,29.0,"[762, 766): 'Mark'","[762, 774): 'Mark O'Meara'"
3,29.0,"[767, 774): 'O'Meara'","[762, 774): 'Mark O'Meara'"
4,29.0,"[886, 893): 'Shigeki'","[886, 902): 'Shigeki Maruyama'"
5,29.0,"[894, 902): 'Maruyama'","[886, 902): 'Shigeki Maruyama'"
6,37.0,"[837, 841): 'Moin'","[837, 846): 'Moin Khan'"
7,37.0,"[842, 846): 'Khan'","[837, 846): 'Moin Khan'"
8,41.0,"[364, 369): 'Czech'","[364, 378): 'Czech Republic'"
9,41.0,"[370, 378): 'Republic'","[364, 378): 'Czech Republic'"
10,43.0,"[2104, 2110): 'Dynamo'","[2104, 2117): 'Dynamo Batumi'"
11,43.0,"[2111, 2117): 'Batumi'","[2104, 2117): 'Dynamo Batumi'"
12,43.0,"[2364, 2368): 'Petr'","[2364, 2376): 'Petr Gabriel'"
13,43.0,"[2369, 2376): 'Gabriel'","[2364, 2376): 'Petr Gabriel'"
14,43.0,"[2668, 2681): 'Constructorul'","[2668, 2690): 'Constructorul Chisinau'"
15,43.0,"[2682, 2690): 'Chisinau'","[2668, 2690): 'Constructorul Chisinau'"
16,43.0,"[84, 106): 'European Cup Winners ''","[84, 110): 'European Cup Winners ' Cup'"
17,43.0,"[107, 110): 'Cup'","[84, 110): 'European Cup Winners ' Cup'"
18,47.0,"[85, 94): 'Malaysian'","[85, 99): 'Malaysian Open'"
19,47.0,"[95, 99): 'Open'","[85, 99): 'Malaysian Open'"
20,51.0,"[84, 96): 'Major League'","[84, 105): 'Major League Baseball'"
21,58.0,"[1090, 1095): 'Jamie'","[1090, 1102): 'Jamie Spence'"
22,58.0,"[1096, 1102): 'Spence'","[1090, 1102): 'Jamie Spence'"
23,58.0,"[271, 274): 'Ian'","[271, 282): 'Ian Woosnam'"
24,58.0,"[275, 282): 'Woosnam'","[271, 282): 'Ian Woosnam'"
25,58.0,"[327, 331): 'Mats'","[327, 338): 'Mats Lanner'"
26,58.0,"[332, 338): 'Lanner'","[327, 338): 'Mats Lanner'"
