fold,line_no,doc_offset,corpus_span,correct_span,correct_ent_type,target_line,context,correct_line
test,1131,3,"[21, 37): 'SKIING-WORLD CUP'","[28, 37): 'WORLD CUP'",MISC,SKIING-WORLD NNP I-NP I-MISC,"FREESTYLE NNP I-NP O
SKIING-WORLD NNP I-NP I-MISC
CUP NNP I-NP I-MISC
MOGUL NNP I-NP O","SKIING NNP I-NP O
- NNP I-NP O
WORLD NNP I-NP I-MISC"
test,5687,25,"[24, 38): 'FOOTBALL-COLTS'","[33, 38): 'COLTS'",ORG,FOOTBALL-COLTS NNS I-NP O,"NFL NNP I-NP I-ORG
AMERICAN NNP I-NP O
FOOTBALL-COLTS NNS I-NP O
CLOBBER NNP I-NP O
EAGLES NNP I-NP I-ORG","FOOTBALL NNS I-NP O
- NNS I-NP O
COLTS NNS I-NP I-ORG"
test,6545,27,"[565, 573): 'X-DENVER'","[567, 573): 'DENVER'",ORG,X-DENVER NNP I-NP I-MISC,"PA NNP I-NP O

X-DENVER NNP I-NP I-MISC
12 CD I-NP O
1 CD I-NP O","X NNP I-NP O
- NNP I-NP O
DENVER NNP I-NP I-MISC"
test,6640,27,"[889, 900): 'Y-GREEN BAY'","[891, 900): 'GREEN BAY'",ORG,Y-GREEN NNP I-NP I-MISC,"PA NNP I-NP O

Y-GREEN NNP I-NP I-MISC
BAY NNP I-NP I-MISC
10 CD I-NP O","Y NNP I-NP O
- NNP I-NP O
GREEN NNP I-NP I-MISC"
test,6851,29,"[25, 44): 'FOOTBALL-OHIO STATE'","[34, 44): 'OHIO STATE'",ORG,FOOTBALL-OHIO NNP I-NP I-MISC,"NCAA NNP I-NP I-ORG
AMERICAN NNP I-NP O
FOOTBALL-OHIO NNP I-NP I-MISC
STATE NNP I-NP I-MISC
'S POS B-NP O","FOOTBALL NNP I-NP O
- NNP I-NP O
OHIO NNP I-NP I-MISC"
test,8644,39,"[1158, 1175): 'AbelardoFernandez'","[1158, 1175): 'Abelardo Fernandez'",PER,AbelardoFernandez NNS I-NP I-PER,"25-1 NNP I-NP O

AbelardoFernandez NNS I-NP I-PER

40-1 JJ I-NP O","Abelardo NNS I-NP I-PER
Fernandez NNS I-NP I-PER"
test,8709,40,"[215, 236): 'Real Madrid-Barcelona'","[215, 226): 'Real Madrid'",ORG,Real NNP I-NP I-MISC,"'s POS B-NP O
big JJ I-NP O
Real NNP I-NP I-MISC
Madrid-Barcelona NNP I-NP I-MISC
game NN I-NP O",Real NNP I-NP I-ORG
test,8710,40,"[215, 236): 'Real Madrid-Barcelona'","[227, 236): 'Barcelona'",ORG,Madrid-Barcelona NNP I-NP I-MISC,"'s POS B-NP O
big JJ I-NP O
Real NNP I-NP I-MISC
Madrid-Barcelona NNP I-NP I-MISC
game NN I-NP O","Madrid NNP I-NP I-ORG
- NNP I-NP O
Barcelona NNP I-NP I-ORG"
test,12068,54,"[11, 27): 'INTERVIEW-ZYWIEC'","[21, 27): 'ZYWIEC'",ORG,INTERVIEW-ZYWIEC NNP I-NP I-MISC,"DOCSTART -X- -X- O

INTERVIEW-ZYWIEC NNP I-NP I-MISC
SEES NNP I-NP O
NO DT I-NP O","INTERVIEW NNP I-NP O
- NNP I-NP O
ZYWIEC NNP I-NP I-ORG"
test,13001,56,"[11, 16): 'UK-US'","[11, 13): 'UK'",LOC,UK-US NNP I-NP I-MISC,"DOCSTART -X- -X- O

UK-US NNP I-NP I-MISC
open JJ I-NP O
skies NNS I-NP O","UK NNP I-NP I-LOC
- NNP I-NP O
US NNP I-NP I-LOC"
