num_models,fold,doc_offset,model_span,model_ent_type,error_type,corpus_span,corpus_ent_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
13,train,0,"[59, 83): 'Peter Blackburn BRUSSELS'",PER,None,"[59, 74): 'Peter Blackburn'",PER,,,,7/8/20 17:40,,
12,train,0,"[821, 823): 'EU'",MISC,None,"[821, 823): 'EU'",ORG,,,,,,
17,train,3,"[0, 10): '-DOCSTART-'",LOC,None,,,,,,,,
15,train,5,"[11, 16): 'GREEK'",PER,None,"[11, 16): 'GREEK'",MISC,,,,,,
17,train,6,"[121, 137): 'Toronto Dominion'",LOC,Tag,"[121, 137): 'Toronto Dominion'",PER,,ORG,TD Bank,,,
15,train,9,"[54, 78): 'Colleen Siegel JERUSALEM'",PER,None,"[54, 68): 'Colleen Siegel'",PER,,,,,,
14,train,11,"[485, 491): 'Rajavi'",PER,Tag,"[485, 491): 'Rajavi'",MISC,,,Massoud Rajavi,,,
13,train,15,"[62, 79): 'Hilary Gush DUBAI'",PER,None,"[62, 73): 'Hilary Gush'",PER,,,,,,
16,train,18,"[758, 764): 'NIDA'A'",ORG,None,"[758, 773): 'NIDA'A AL-WATAN'",ORG,,,,,,
14,train,21,"[0, 10): '-DOCSTART-'",ORG,None,,,,,,,,
17,train,25,"[141, 151): 'mid-Norway'",LOC,None,"[141, 151): 'mid-Norway'",MISC,,,Ambiguous: Is mid-Norway a region?,,,
17,train,29,"[454, 468): 'Phil Mickelson'",PER,Sentence,"[454, 458): 'Phil'",PER,,,Sentence boundary between first and last name,,,
17,train,29,"[454, 468): 'Phil Mickelson'",PER,Sentence,"[459, 468): 'Mickelson'",PER,,,Sentence boundary between first and last name,,,
17,train,29,"[762, 774): 'Mark O'Meara'",PER,Sentence,"[762, 766): 'Mark'",PER,,,Sentence boundary between first and last name,,,
17,train,29,"[762, 774): 'Mark O'Meara'",PER,Sentence,"[767, 774): 'O'Meara'",PER,,,Sentence boundary between first and last name,,,
