num_models,fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
2,train,0,"[59, 74): 'Peter Blackburn'",PER,None,,,,,,
1,train,0,"[75, 83): 'BRUSSELS'",LOC,None,,,,,,
2,train,5,"[11, 16): 'GREEK'",MISC,None,,,,,,
0,train,6,"[121, 137): 'Toronto Dominion'",PER,Tag,,ORG,TD Bank,,,
5,train,6,"[389, 391): 'CA'",LOC,None,,,,,,
2,train,6,"[556, 578): 'BAYERISCHE VEREINSBANK'",ORG,None,,,,,,
5,train,7,"[289, 291): '3M'",ORG,Wrong,,,3 Months,,,
1,train,7,"[423, 429): 'LONDON'",LOC,None,,,,,,
1,train,7,"[474, 476): 'FR'",LOC,None,,,,,,
5,train,9,"[1573, 1586): 'Golan Heights'",LOC,None,,,,,,
5,train,9,"[1587, 1593): 'Israel'",LOC,None,,,,,,
4,train,11,"[485, 491): 'Rajavi'",MISC,Tag,,PER,Massoud Rajavi,,,
5,train,15,"[62, 73): 'Hilary Gush'",PER,None,,,,,,
5,train,15,"[74, 79): 'DUBAI'",LOC,None,,,,,,
3,train,18,"[758, 773): 'NIDA'A AL-WATAN'",ORG,None,,,,,,
0,train,24,"[161, 169): 'Africans'",MISC,None,,,Ambiguous: Probably a nationality,,,
2,train,24,"[384, 388): 'FLNC'",ORG,None,,,,,,
0,train,25,"[141, 151): 'mid-Norway'",MISC,Tag,,LOC,"Could also be considered a tokenization error, in which case the entity should be [145, 151): 'Norway'",,,
2,train,28,"[1074, 1076): 'EU'",ORG,None,,,,,,
3,train,28,"[1133, 1135): 'EU'",ORG,None,,,,,,
1,train,29,"[27, 47): 'WORLD SERIES OF GOLF'",MISC,None,,,,,,
0,train,29,"[454, 458): 'Phil'",PER,Sentence,"[454, 468): 'Phil Mickelson'",PER,,,,
0,train,29,"[459, 468): 'Mickelson'",PER,Sentence,"[454, 468): 'Phil Mickelson'",PER,,,,
0,train,29,"[762, 766): 'Mark'",PER,Sentence,"[762, 774): 'Mark O'Meara'",PER,,,,
0,train,29,"[767, 774): 'O'Meara'",PER,Sentence,"[762, 774): 'Mark O'Meara'",PER,,,,
1,train,29,"[886, 893): 'Shigeki'",PER,Sentence,"[886, 902): 'Shigeki Maruyama'",PER,,,,
1,train,29,"[894, 902): 'Maruyama'",PER,Sentence,"[886, 902): 'Shigeki Maruyama'",PER,,,,
5,train,30,"[44, 57): 'F.C. VALLETTA'",ORG,None,,,,,,
4,train,30,"[59, 67): 'BISTRITA'",LOC,None,,,,,,
1,train,31,"[25, 32): 'PIVOTAL'",PER,None,,,Animals are considered PER entities per the rubric,,,
1,train,31,"[63, 71): 'PRESCOTT'",PER,None,,,,,,
5,train,31,"[644, 655): 'Royal Ascot'",PER,Tag,,MISC,https://en.wikipedia.org/wiki/Ascot_Racecourse#Royal_Ascot,,,
5,train,35,"[37, 46): 'BLACKBURN'",ORG,None,,,,,,
